model_type,task_type,question_idx,gold_answer,baseline_stop_window,baseline_tokens_saved,stop_window_0.50,stop_window_0.85,stop_window_0.95,tokens_saved_0.50,tokens_saved_0.85,tokens_saved_0.95,is_correct_full,is_correct_baseline,is_correct_0.50,is_correct_0.85,is_correct_0.95
GPT3.5,gsm8k,0,18,5,2204,5,5,15,2204,2204,1596,True,True,True,True,True
GPT3.5,gsm8k,1,3,5,1302,5,5,5,1302,1302,1302,True,True,True,True,True
GPT3.5,gsm8k,2,70000,15,1612,5,5,15,2388,2388,1612,False,False,False,False,False
GPT3.5,gsm8k,3,540,5,1618,5,5,5,1618,1618,1618,True,True,True,True,True
GPT3.5,gsm8k,4,20,15,2730,5,5,40,3715,3715,0,True,True,True,True,True
GPT3.5,gsm8k,5,64,40,0,5,5,40,2571,2571,0,True,True,True,True,True
GPT3.5,gsm8k,6,260,5,1759,5,5,5,1759,1759,1759,True,True,True,True,True
GPT3.5,gsm8k,7,160,40,0,5,10,40,4870,4119,0,True,True,True,False,True
GPT3.5,gsm8k,8,45,40,0,5,5,40,3263,3263,0,False,False,False,False,False
GPT3.5,gsm8k,9,460,5,2388,5,5,5,2388,2388,2388,True,True,True,True,True
GPT3.5,gsm8k,10,366,5,2341,5,5,5,2341,2341,2341,True,True,True,True,True
GPT3.5,gsm8k,11,694,10,1924,5,5,40,2230,2230,0,True,True,True,True,True
GPT3.5,gsm8k,12,13,15,2314,5,5,25,3191,3191,1425,False,False,False,False,False
GPT3.5,gsm8k,13,18,40,0,5,5,20,3314,3314,1919,False,False,False,False,False
GPT3.5,gsm8k,14,60,5,3172,5,5,5,3172,3172,3172,True,True,True,True,True
GPT3.5,gsm8k,15,125,35,502,5,5,40,4059,4059,0,True,True,True,True,True
GPT3.5,gsm8k,16,230,40,0,5,5,10,2118,2118,1865,False,False,True,True,True
GPT3.5,gsm8k,17,57500,10,2571,5,5,5,2984,2984,2984,False,False,False,False,False
GPT3.5,gsm8k,18,7,10,1871,5,5,10,2181,2181,1871,True,True,False,False,True
GPT3.5,gsm8k,19,6,5,3889,5,5,40,3889,3889,0,False,False,False,False,False
GPT3.5,gsm8k,20,15,40,0,5,5,25,5332,5332,2070,False,False,False,False,False
GPT3.5,gsm8k,21,14,20,1141,5,5,10,2067,2067,1761,True,True,True,True,True
GPT3.5,gsm8k,22,7,5,1992,5,5,5,1992,1992,1992,True,True,True,True,True
GPT3.5,gsm8k,23,8,5,1333,5,5,5,1333,1333,1333,True,True,True,True,True
GPT3.5,gsm8k,24,26,5,1902,5,5,5,1902,1902,1902,True,True,True,True,True
GPT3.5,gsm8k,25,2,5,3175,5,5,15,3175,3175,2285,True,True,True,True,True
GPT3.5,gsm8k,26,243,5,2698,5,5,5,2698,2698,2698,True,True,True,True,True
GPT3.5,gsm8k,27,16,30,683,5,5,5,2318,2318,2318,False,False,False,False,False
GPT3.5,gsm8k,28,25,35,375,5,5,5,2335,2335,2335,True,True,True,True,True
GPT3.5,gsm8k,29,104,40,0,5,5,40,3825,3825,0,True,True,True,True,True
GPT3.5,gsm8k,30,109,5,2557,5,5,35,2557,2557,296,True,True,True,True,True
GPT3.5,gsm8k,31,80,10,2113,5,5,5,2465,2465,2465,True,True,True,True,True
GPT3.5,gsm8k,32,35,5,2010,5,5,5,2010,2010,2010,True,True,True,True,True
GPT3.5,gsm8k,33,70,5,3232,5,5,5,3232,3232,3232,True,True,True,True,True
GPT3.5,gsm8k,34,23,5,1637,5,5,5,1637,1637,1637,True,True,True,True,True
GPT3.5,gsm8k,35,9,5,1872,5,5,35,1872,1872,256,True,True,True,True,True
GPT3.5,gsm8k,36,75,40,0,5,5,5,1786,1786,1786,True,True,False,False,False
